GrLivArea,TotalBsmtSF,GarageCars,SalePrice
1710.0,856.0,2.0,208500
1262.0,1262.0,2.0,181500
1786.0,920.0,2.0,223500
1717.0,756.0,3.0,140000
2198.0,1145.0,3.0,250000
1362.0,796.0,2.0,143000
1694.0,1686.0,2.0,307000
2090.0,1107.0,2.0,200000
1774.0,952.0,2.0,129900
1077.0,991.0,1.0,118000
1040.0,1040.0,1.0,129500
2324.0,1175.0,3.0,345000
912.0,912.0,1.0,144000
1494.0,1494.0,3.0,279500
1253.0,1253.0,1.0,157000
854.0,832.0,2.0,132000
1004.0,1004.0,2.0,149000
1296.0,0.0,2.0,90000
1114.0,1114.0,2.0,159000
1339.0,1029.0,1.0,139000
2376.0,1158.0,3.0,325300
1108.0,637.0,1.0,139400
1795.0,1777.0,2.0,230000
1060.0,1040.0,2.0,129900
1060.0,1060.0,1.0,154000
1600.0,1566.0,3.0,256300
900.0,900.0,2.0,134800
1704.0,1704.0,3.0,306000
1600.0,1484.0,1.0,207500
520.0,520.0,1.0,68500
1317.0,649.0,1.0,40000
1228.0,1228.0,1.0,149350
1234.0,1234.0,2.0,179900
1700.0,1398.0,2.0,165500
1561.0,1561.0,2.0,277500
2452.0,1117.0,3.0,309000
1097.0,1097.0,2.0,145000
1297.0,1297.0,2.0,153000
1057.0,1057.0,1.0,109000
1152.0,0.0,0.0,82000
1324.0,1088.0,2.0,160000
1328.0,1350.0,1.0,170000
884.0,840.0,2.0,144000
938.0,938.0,1.0,130250
1150.0,1150.0,1.0,141000
1752.0,1752.0,2.0,319900
2149.0,1434.0,2.0,239686
1656.0,1656.0,3.0,249700
1452.0,736.0,0.0,113000
955.0,955.0,1.0,127000
1470.0,794.0,2.0,177000
1176.0,816.0,2.0,114500
816.0,816.0,2.0,110000
1842.0,1842.0,3.0,385000
1360.0,384.0,2.0,130000
1425.0,1425.0,2.0,180500
1739.0,970.0,2.0,172500
1720.0,860.0,2.0,196500
2945.0,1410.0,3.0,438780
780.0,780.0,1.0,124900
1158.0,1158.0,2.0,158000
1111.0,530.0,1.0,101000
1370.0,1370.0,2.0,202500
1710.0,576.0,2.0,140000
2034.0,1057.0,2.0,219500
2473.0,1143.0,3.0,317000
2207.0,1947.0,2.0,180000
1479.0,1453.0,2.0,226000
747.0,747.0,1.0,80000
2287.0,1304.0,2.0,225000
2223.0,2223.0,2.0,244000
845.0,845.0,2.0,129500
1718.0,832.0,2.0,185000
1086.0,1086.0,2.0,144900
1605.0,840.0,1.0,107400
988.0,462.0,1.0,91000
952.0,952.0,1.0,135750
1285.0,672.0,1.0,127000
1768.0,1768.0,0.0,136500
1230.0,440.0,2.0,110000
2142.0,896.0,1.0,193500
1337.0,1237.0,2.0,153500
1563.0,1563.0,3.0,245000
1065.0,1065.0,2.0,126500
1474.0,384.0,2.0,168500
2417.0,1288.0,2.0,260000
1560.0,684.0,2.0,174000
1224.0,612.0,2.0,164500
1526.0,1013.0,0.0,85000
990.0,990.0,0.0,123600
1040.0,0.0,2.0,109900
1235.0,1235.0,2.0,98600
964.0,876.0,2.0,163500
2291.0,1214.0,2.0,133900
1786.0,824.0,2.0,204750
1470.0,680.0,2.0,185000
1588.0,1588.0,2.0,214000
960.0,960.0,1.0,94750
835.0,458.0,1.0,83000
1225.0,950.0,0.0,128950
1610.0,1610.0,2.0,205000
1732.0,741.0,2.0,178000
1535.0,0.0,2.0,118964
1226.0,1226.0,3.0,198900
1818.0,1040.0,1.0,169500
1992.0,1053.0,2.0,250000
1047.0,641.0,1.0,100000
789.0,789.0,1.0,115000
1517.0,793.0,0.0,115000
1844.0,1844.0,2.0,190000
1855.0,994.0,1.0,136900
1430.0,384.0,2.0,180000
2696.0,1264.0,3.0,383970
2259.0,1809.0,2.0,217000
2320.0,1028.0,1.0,259500
1458.0,729.0,2.0,176000
1092.0,1092.0,1.0,139000
1125.0,1125.0,2.0,155000
3222.0,1673.0,3.0,320000
1456.0,728.0,2.0,163990
988.0,938.0,2.0,180000
1123.0,732.0,1.0,100000
1080.0,1080.0,1.0,136000
1199.0,1199.0,2.0,153900
1586.0,1362.0,2.0,181000
754.0,520.0,0.0,84500
958.0,1078.0,2.0,128000
840.0,672.0,0.0,87000
1348.0,660.0,2.0,155000
1053.0,1008.0,2.0,150000
2157.0,924.0,2.0,226000
2054.0,992.0,2.0,244000
1327.0,1063.0,2.0,150750
1296.0,1267.0,2.0,220000
1721.0,1461.0,2.0,180000
1682.0,1304.0,2.0,174000
1214.0,1214.0,1.0,143000
1959.0,1907.0,3.0,171000
1852.0,1004.0,3.0,230000
1764.0,928.0,2.0,231500
864.0,864.0,0.0,115000
1734.0,1734.0,2.0,260000
1385.0,910.0,2.0,166000
1501.0,1490.0,2.0,204000
1728.0,1728.0,2.0,125000
1709.0,970.0,2.0,130000
875.0,715.0,1.0,105000
2035.0,884.0,2.0,222500
1080.0,1080.0,0.0,141000
1344.0,896.0,1.0,115000
969.0,969.0,2.0,122000
1710.0,1710.0,3.0,372402
1993.0,825.0,2.0,190000
1252.0,1602.0,2.0,235000
1200.0,1200.0,1.0,125000
1096.0,572.0,0.0,79000
1040.0,0.0,2.0,109500
1968.0,774.0,3.0,269500
1947.0,991.0,2.0,254900
2462.0,1392.0,2.0,320000
1232.0,1232.0,2.0,162500
2668.0,1572.0,3.0,412500
1541.0,1541.0,2.0,220000
882.0,882.0,0.0,103200
1616.0,1149.0,1.0,152000
1355.0,644.0,0.0,127500
1867.0,1617.0,1.0,190000
2161.0,1582.0,3.0,325624
1720.0,840.0,2.0,183500
1707.0,1686.0,2.0,228000
1382.0,720.0,2.0,128500
1656.0,1080.0,2.0,215000
1767.0,1064.0,2.0,239000
1362.0,1362.0,2.0,163000
1651.0,1606.0,2.0,184000
2158.0,1202.0,2.0,243000
2060.0,1151.0,2.0,211000
1920.0,1052.0,2.0,172500
2234.0,2216.0,3.0,501837
968.0,968.0,2.0,100000
1525.0,756.0,2.0,177000
1802.0,793.0,1.0,200100
1340.0,0.0,1.0,120000
2082.0,1362.0,2.0,200000
1252.0,504.0,2.0,127000
3608.0,1107.0,3.0,475000
1217.0,1188.0,2.0,173000
1656.0,660.0,1.0,135000
1224.0,1086.0,2.0,153337
1593.0,1593.0,2.0,286000
2727.0,853.0,2.0,315000
1479.0,725.0,2.0,184000
1431.0,1431.0,2.0,192000
1709.0,970.0,2.0,130000
864.0,864.0,1.0,127000
1456.0,855.0,2.0,148500
1726.0,1726.0,3.0,311872
3112.0,1360.0,2.0,235000
2229.0,755.0,0.0,104000
1713.0,1713.0,3.0,274900
1121.0,1121.0,2.0,140000
1279.0,1196.0,2.0,171500
1310.0,617.0,1.0,112000
848.0,848.0,2.0,149000
1284.0,720.0,1.0,110000
1442.0,1424.0,2.0,180500
1696.0,1140.0,1.0,143900
1100.0,1100.0,1.0,141000
2062.0,1157.0,2.0,277000
1092.0,1092.0,2.0,145000
864.0,864.0,0.0,98000
1212.0,1212.0,2.0,186000
1852.0,900.0,2.0,252678
990.0,990.0,2.0,156000
1392.0,689.0,1.0,161750
1236.0,1070.0,1.0,134450
1436.0,1436.0,2.0,210000
1328.0,686.0,1.0,107000
1954.0,798.0,2.0,311500
1248.0,1248.0,2.0,167240
1498.0,1498.0,2.0,204900
2267.0,1010.0,2.0,200000
1552.0,713.0,2.0,179900
864.0,864.0,2.0,97000
2392.0,2392.0,3.0,386250
1302.0,630.0,1.0,112000
2520.0,1203.0,3.0,290000
987.0,483.0,1.0,106000
912.0,912.0,1.0,125000
1555.0,1373.0,2.0,192500
1194.0,1194.0,1.0,148000
2794.0,1462.0,3.0,403000
987.0,483.0,1.0,94500
894.0,894.0,1.0,128200
1960.0,860.0,2.0,216500
987.0,483.0,1.0,89500
1414.0,1414.0,2.0,185500
1744.0,996.0,2.0,194500
1694.0,1694.0,3.0,318000
1487.0,735.0,1.0,113000
1566.0,1566.0,2.0,262500
866.0,686.0,0.0,110500
1440.0,540.0,1.0,79000
1217.0,626.0,1.0,120000
2110.0,948.0,2.0,205000
1872.0,1845.0,2.0,241500
1928.0,1020.0,1.0,137000
1375.0,1367.0,2.0,140000
1668.0,840.0,2.0,180000
2144.0,1444.0,2.0,277000
1306.0,728.0,0.0,76500
1625.0,1573.0,2.0,235000
1640.0,798.0,2.0,173000
1302.0,1302.0,1.0,158000
1314.0,1314.0,1.0,145000
2291.0,975.0,2.0,230000
1728.0,864.0,2.0,207500
1604.0,1604.0,2.0,220000
1792.0,963.0,2.0,231500
882.0,0.0,1.0,97000
1382.0,1362.0,2.0,176000
2574.0,1482.0,3.0,276000
1212.0,506.0,2.0,151000
1316.0,926.0,2.0,130000
764.0,680.0,2.0,73000
1422.0,1422.0,2.0,175500
1511.0,802.0,2.0,185000
2192.0,720.0,1.0,179500
778.0,740.0,1.0,120500
1113.0,1143.0,1.0,148000
1939.0,1095.0,3.0,266000
1363.0,1385.0,2.0,241500
2270.0,1152.0,3.0,290000
1632.0,1240.0,1.0,139000
816.0,816.0,1.0,124500
1548.0,952.0,2.0,205000
1560.0,1560.0,2.0,201000
864.0,864.0,2.0,141000
2121.0,2121.0,3.0,415298
2022.0,1160.0,2.0,192000
1982.0,807.0,2.0,228500
1262.0,1262.0,2.0,185000
1314.0,1314.0,2.0,207500
1468.0,1468.0,3.0,244600
1575.0,1575.0,2.0,179200
1250.0,625.0,2.0,164700
1734.0,912.0,2.0,159000
858.0,858.0,0.0,88000
900.0,882.0,1.0,122000
1396.0,698.0,1.0,153575
1919.0,1079.0,2.0,233230
1716.0,780.0,0.0,135900
1716.0,768.0,1.0,131000
2263.0,795.0,2.0,235000
1644.0,1416.0,2.0,167000
1003.0,1003.0,2.0,142500
1558.0,910.0,1.0,152000
1950.0,975.0,2.0,239000
1743.0,702.0,2.0,175000
1152.0,1092.0,1.0,158500
1336.0,1165.0,1.0,157000
2452.0,1028.0,2.0,267000
1541.0,1541.0,3.0,205000
894.0,894.0,2.0,149900
3493.0,1470.0,3.0,295000
2000.0,2000.0,3.0,305900
2243.0,700.0,3.0,225000
1406.0,319.0,0.0,89500
861.0,861.0,2.0,82500
1944.0,1896.0,3.0,360000
1501.0,697.0,2.0,165600
972.0,972.0,1.0,132000
1118.0,793.0,2.0,119900
2036.0,2136.0,2.0,375000
1641.0,728.0,2.0,178000
1432.0,716.0,2.0,188500
2353.0,845.0,2.0,260000
1959.0,1088.0,3.0,270000
2646.0,1347.0,3.0,260000
1472.0,1372.0,2.0,187500
2596.0,1249.0,3.0,342643
2468.0,1136.0,3.0,354000
2730.0,1502.0,2.0,301000
1163.0,1162.0,1.0,126175
2978.0,710.0,2.0,242000
803.0,720.0,2.0,87000
1719.0,1719.0,2.0,324000
1383.0,1383.0,1.0,145250
2134.0,844.0,2.0,214500
1192.0,596.0,1.0,78000
1728.0,1728.0,1.0,119000
1056.0,1056.0,1.0,139000
1629.0,3206.0,3.0,284000
1358.0,1358.0,2.0,207000
1638.0,943.0,2.0,192000
1786.0,1499.0,2.0,228950
1922.0,1922.0,3.0,377426
1536.0,1536.0,2.0,214000
1621.0,1208.0,2.0,202500
1215.0,1215.0,1.0,155000
1908.0,967.0,2.0,202900
841.0,721.0,1.0,82000
1040.0,0.0,2.0,87500
1684.0,1684.0,2.0,266000
1112.0,536.0,1.0,85000
1577.0,972.0,1.0,140200
958.0,958.0,1.0,151500
1478.0,1478.0,2.0,157500
1626.0,764.0,2.0,154000
2728.0,1848.0,3.0,437154
1869.0,1869.0,2.0,318061
1453.0,1453.0,2.0,190000
1111.0,616.0,1.0,95000
720.0,624.0,2.0,105900
1595.0,940.0,1.0,140000
1200.0,1200.0,2.0,177500
1167.0,1158.0,2.0,173000
1142.0,1142.0,2.0,134000
1352.0,1062.0,1.0,130000
1924.0,1086.0,2.0,280000
912.0,888.0,2.0,156000
1505.0,883.0,1.0,145000
1922.0,0.0,2.0,198500
987.0,483.0,1.0,118000
1574.0,796.0,2.0,190000
1344.0,672.0,1.0,147000
1394.0,1394.0,2.0,159000
1431.0,1099.0,1.0,165000
1268.0,1268.0,1.0,132000
1287.0,1063.0,2.0,162000
1664.0,953.0,2.0,172400
1588.0,0.0,2.0,134432
752.0,744.0,1.0,125000
1319.0,608.0,1.0,123000
1928.0,847.0,2.0,219500
904.0,683.0,0.0,61000
914.0,870.0,2.0,148000
2466.0,1580.0,2.0,340000
1856.0,1856.0,3.0,394432
1800.0,982.0,2.0,179000
1691.0,1026.0,1.0,127000
1301.0,1293.0,2.0,187750
1797.0,939.0,2.0,213500
784.0,784.0,2.0,76000
1953.0,1580.0,2.0,240000
1269.0,1256.0,2.0,192000
1184.0,658.0,0.0,81000
1125.0,1041.0,1.0,125000
1479.0,1468.0,2.0,191000
2332.0,1682.0,3.0,426000
1367.0,861.0,1.0,119000
1961.0,804.0,2.0,215000
882.0,0.0,1.0,106500
788.0,788.0,0.0,100000
1034.0,735.0,1.0,109000
1144.0,1144.0,1.0,129000
894.0,894.0,2.0,123000
1812.0,864.0,1.0,169500
1077.0,961.0,1.0,67000
1550.0,1092.0,2.0,241000
1288.0,1260.0,2.0,245500
1310.0,1310.0,2.0,164990
672.0,672.0,1.0,108000
2263.0,1141.0,2.0,258000
1572.0,806.0,2.0,168000
1620.0,1281.0,2.0,150000
1639.0,1064.0,1.0,115000
1680.0,840.0,1.0,177000
2172.0,1063.0,3.0,280000
2078.0,1034.0,3.0,339750
1276.0,1276.0,1.0,60000
1056.0,1056.0,2.0,145000
1478.0,1470.0,2.0,222000
1028.0,1008.0,2.0,115000
2097.0,1080.0,3.0,228000
1340.0,1340.0,2.0,181134
1400.0,672.0,2.0,149500
2624.0,1370.0,3.0,239000
1134.0,756.0,1.0,126000
1056.0,1056.0,1.0,142000
1344.0,1344.0,4.0,206300
1602.0,1602.0,2.0,215000
988.0,988.0,2.0,113000
2630.0,1470.0,3.0,315000
1196.0,1196.0,1.0,139000
1389.0,651.0,1.0,135000
1644.0,1518.0,2.0,275000
907.0,907.0,1.0,109008
1208.0,1208.0,2.0,195400
1412.0,1392.0,2.0,175000
987.0,483.0,1.0,85400
1198.0,901.0,0.0,79900
1365.0,765.0,2.0,122500
1604.0,926.0,2.0,181000
630.0,630.0,0.0,81000
1661.0,799.0,2.0,212000
1118.0,648.0,2.0,116000
904.0,884.0,1.0,119000
694.0,440.0,1.0,90350
1196.0,684.0,2.0,110000
2402.0,3094.0,3.0,555000
1440.0,1440.0,0.0,118000
1573.0,1078.0,2.0,162900
1258.0,1258.0,3.0,172500
1908.0,915.0,2.0,210000
1689.0,1436.0,2.0,127500
1888.0,1517.0,2.0,190000
1886.0,930.0,2.0,199900
1376.0,780.0,1.0,119500
1183.0,649.0,1.0,120000
813.0,813.0,1.0,110000
1533.0,1533.0,2.0,280000
1756.0,872.0,2.0,204000
1590.0,768.0,2.0,210000
1728.0,1728.0,2.0,188000
1242.0,1242.0,2.0,175500
1344.0,624.0,3.0,98000
1663.0,1364.0,2.0,256000
1666.0,588.0,1.0,161000
1203.0,709.0,1.0,110000
1935.0,832.0,2.0,263435
1135.0,560.0,2.0,155000
864.0,864.0,1.0,62383
1660.0,715.0,1.0,188700
1040.0,1040.0,0.0,124000
1414.0,1375.0,2.0,178740
1277.0,1277.0,2.0,167000
1644.0,728.0,1.0,146500
1634.0,1626.0,3.0,250000
1710.0,832.0,2.0,187000
1502.0,1488.0,2.0,212000
1969.0,808.0,2.0,190000
1072.0,547.0,2.0,148000
1976.0,1976.0,3.0,440000
1652.0,1494.0,2.0,251000
970.0,970.0,2.0,132500
1493.0,1478.0,2.0,208900
2643.0,2153.0,3.0,380000
1718.0,1705.0,3.0,297000
1131.0,907.0,2.0,89471
1850.0,1833.0,3.0,326000
1792.0,1792.0,3.0,374000
1826.0,910.0,1.0,155000
1216.0,1216.0,2.0,164000
999.0,999.0,1.0,132500
1113.0,1113.0,1.0,147000
1073.0,1073.0,2.0,156000
1484.0,1484.0,2.0,175000
2414.0,954.0,2.0,160000
630.0,630.0,1.0,86000
1304.0,264.0,1.0,115000
1578.0,806.0,1.0,133000
1456.0,728.0,2.0,172785
1269.0,1269.0,1.0,155000
886.0,190.0,1.0,91300
720.0,720.0,0.0,34900
3228.0,3200.0,2.0,430000
1820.0,1026.0,1.0,184000
899.0,864.0,1.0,130000
